nodeId,name,type,country,foundedYear,marketCap,employees,mainBusiness
1,特斯拉,汽车制造商,美国,2003,800000000000,127855,电动汽车制造
2,比亚迪,汽车制造商,中国,1995,120000000000,288000,电动汽车及电池
3,蔚来,汽车制造商,中国,2014,15000000000,26763,智能电动汽车
4,理想汽车,汽车制造商,中国,2015,25000000000,45000,增程式电动汽车
5,小鹏汽车,汽车制造商,中国,2014,12000000000,13000,智能电动汽车
6,宁德时代,电池制造商,中国,2011,450000000000,75000,动力电池系统
7,松下,电池制造商,日本,1918,28000000000,243540,电池及电子产品
8,LG新能源,电池制造商,韩国,2020,65000000000,27000,电池解决方案
9,英伟达,芯片制造商,美国,1993,1800000000000,29600,AI芯片及计算平台
10,高通,芯片制造商,美国,1985,180000000000,51000,移动处理器及通信技术
11,地平线,芯片制造商,中国,2015,7000000000,2000,汽车智能芯片
12,黑芝麻智能,芯片制造商,中国,2016,1500000000,800,自动驾驶芯片
13,百度Apollo,自动驾驶,中国,2017,50000000000,42000,自动驾驶技术平台
14,Waymo,自动驾驶,美国,2009,175000000000,2500,自动驾驶技术
15,华为,通信技术,中国,1987,150000000000,207000,智能汽车解决方案
16,腾讯,软件服务,中国,1998,400000000000,116213,车联网及云服务
17,阿里巴巴,软件服务,中国,1999,250000000000,245700,车载操作系统
18,国家电网,充电运营商,中国,2002,400000000000,917000,电力供应及充电网络
19,特来电,充电运营商,中国,2014,15000000000,8000,充电桩运营
20,星星充电,充电运营商,中国,2014,8000000000,5000,充电桩运营
21,天齐锂业,原材料供应商,中国,1995,45000000000,6000,锂资源开发
22,赣锋锂业,原材料供应商,中国,2000,38000000000,15000,锂化合物生产
23,盛屯矿业,原材料供应商,中国,1995,12000000000,8000,有色金属开采
24,中科创达,软件服务,中国,2008,15000000000,8000,智能操作系统
25,四维图新,软件服务,中国,2002,8000000000,6000,高精度地图
26,博世,零部件供应商,德国,1886,95000000000,421000,汽车零部件及系统
27,大陆集团,零部件供应商,德国,1871,45000000000,244000,汽车电子及轮胎
28,法雷奥,零部件供应商,法国,1923,20000000000,113000,汽车零部件
29,安波福,零部件供应商,美国,2017,25000000000,190000,电气化及自动驾驶
30,均胜电子,零部件供应商,中国,1993,8000000000,50000,汽车电子及安全系统
31,德赛西威,零部件供应商,中国,1986,5000000000,12000,汽车电子
32,华域汽车,零部件供应商,中国,1986,25000000000,89000,汽车零部件系统集成
33,上汽集团,汽车制造商,中国,1955,60000000000,200000,汽车制造及服务
34,广汽集团,汽车制造商,中国,1955,35000000000,85000,汽车制造
35,长城汽车,汽车制造商,中国,1984,28000000000,70000,SUV及新能源汽车
36,吉利汽车,汽车制造商,中国,1986,30000000000,120000,汽车制造及出行服务
37,滴滴出行,出行服务,中国,2012,68000000000,16000,网约车及共享出行
38,Uber,出行服务,美国,2009,95000000000,32800,网约车及配送服务
39,激光雷达,传感器制造商,中国,2016,3000000000,2000,激光雷达产品
40,禾赛科技,传感器制造商,中国,2013,2500000000,1800,激光雷达解决方案
